0	0	0	0	0	0	0	0	0	0
1	1558	164	165	166	0	0	1	1	1
2	1559	167	168	329	0	0	1	1	1
3	1560	169	170	171	0	0	1	1	1
4	1561	172	173	174	0	0	1	1	1
5	1562	175	176	177	0	0	1	1	1
6	1563	178	179	180	0	0	1	1	1
7	1564	181	182	183	0	0	1	1	1
8	1565	184	185	0	0	0	1	1	1
9	1566	186	187	188	0	0	1	1	1
10	1567	189	190	191	0	0	1	1	1
11	1568	192	193	0	0	0	1	1	1
12	1569	194	195	196	0	0	1	1	1
13	1570	197	198	199	0	0	1	1	1
14	1571	200	201	202	0	0	1	1	1
15	1572	203	204	0	0	0	1	1	1
16	1573	205	206	0	0	0	1	1	1
17	1574	207	208	209	0	0	1	1	1
18	1575	210	211	212	0	0	1	1	1
19	1576	213	328	0	0	0	1	1	1
20	1577	216	217	218	0	0	1	1	1
21	1578	219	220	221	0	0	1	1	1
22	1579	222	223	224	0	0	1	1	1
23	1580	225	226	0	0	0	1	1	1
24	1581	227	228	229	0	0	1	1	1
25	1582	230	231	0	0	0	1	1	1
26	1583	232	233	0	0	0	1	1	1
27	1584	234	0	0	0	0	1	1	1
28	1585	235	0	0	0	0	1	1	1
29	1588	247	248	249	0	0	1	1	1
30	1589	250	251	252	0	0	1	1	1
31	1587	253	0	0	0	0	1	1	1
32	1586	254	0	0	0	0	1	1	1
33	1590	255	256	0	0	0	1	1	1
34	1591	308	309	310	0	0	1	1	1
35	1592	311	312	313	0	0	1	1	1
36	1593	314	315	0	0	0	1	1	1
37	1594	316	317	318	0	0	1	1	1
38	1595	319	320	321	0	0	1	1	1
39	1596	322	323	324	0	0	1	1	1
40	1597	325	326	327	0	0	1	1	1
41	0	0	0	0	0	0	0	0	0
42	0	0	0	0	0	0	0	0	0
43	0	0	0	0	0	0	0	0	0
44	0	0	0	0	0	0	0	0	0
45	0	0	0	0	0	0	0	0	0
46	0	0	0	0	0	0	0	0	0
47	0	0	0	0	0	0	0	0	0
48	0	0	0	0	0	0	0	0	0
49	0	0	0	0	0	0	0	0	0
50	0	0	0	0	0	0	0	0	0
