0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Surprised	0	689	0	0	0	674	674	0	0	402	64001	100	200	1	0	74	2
2	Angry	0	690	0	0	639	639	639	0	0	403	64002	101	201	1	0	69	2
3	Furious	0	691	0	0	664	664	664	0	0	404	64003	102	202	1	0	63	2
4	Blush	0	693	0	0	0	0	0	0	0	405	64004	103	203	1	0	26	2
5	Bow	0	694	0	0	0	0	0	0	0	406	64005	104	204	1	0	1	2
6	Cheer	0	695	0	0	0	675	675	0	0	407	64006	105	205	1	0	44	2
7	Clap	0	696	0	0	656	645	676	0	0	408	64007	106	206	1	0	42	2
8	Beckon	0	697	0	0	0	0	0	0	0	409	64008	107	207	1	0	91	2
9	Comfort	0	698	0	0	0	677	677	0	0	410	64009	108	208	1	0	27	2
10	Cry	0	699	0	0	0	678	678	0	0	411	64010	109	209	1	0	62	2
11	Dance	0	700	0	0	0	0	0	0	0	412	64011	110	210	1	0	31	2
12	Doubt	0	702	0	0	0	0	0	0	0	413	64012	111	211	1	0	75	2
13	Doze	0	703	0	0	657	646	679	0	0	414	64013	112	212	1	0	97	2
14	Fume	0	704	0	0	0	0	0	0	0	415	64014	113	213	1	0	64	2
15	Goodbye	0	705	0	0	637	680	680	0	0	416	64015	114	214	1	0	3	2
16	Wave	0	706	0	0	663	652	681	0	0	417	64016	115	215	1	0	4	2
17	Huh	0	707	0	0	660	649	682	0	0	418	64017	116	216	1	0	70	2
18	Joy	0	708	0	0	0	683	683	0	0	419	64018	117	217	1	0	22	2
19	Kneel	0	710	0	0	0	0	0	0	0	420	64019	118	218	1	0	5	2
20	Chuckle	0	711	0	0	662	651	685	0	0	421	64020	119	219	1	0	20	2
21	Laugh	0	712	0	0	638	635	686	0	0	422	64021	120	220	1	0	21	2
22	Lookout	0	713	0	0	665	665	665	0	0	423	64022	121	221	1	0	101	2
23	Me	0	715	0	0	0	745	745	0	0	424	64023	122	222	1	0	103	2
24	No	0	716	0	0	666	666	666	0	0	425	64024	123	223	1	0	60	2
25	Deny	0	717	0	0	667	746	746	0	0	426	64025	124	224	1	0	61	2
26	Panic	0	719	0	0	0	0	0	0	0	427	64026	125	225	1	0	65	2
27	Point	0	720	0	0	0	687	687	0	0	428	64027	126	226	1	0	98	2
28	Poke	0	721	0	0	0	748	748	0	3185	429	64028	127	227	1	0	99	2
29	Congratulate	0	723	0	0	636	749	749	0	0	430	64029	128	228	1	0	43	2
30	Psych	0	724	0	0	0	0	0	0	0	431	64030	129	229	1	0	28	2
31	Salute	0	725	0	0	0	750	750	0	0	432	64031	130	230	1	0	6	2
32	Shocked	0	729	0	0	0	751	751	0	0	433	64032	131	231	1	0	71	2
33	Shrug	0	730	0	0	0	752	752	0	0	434	64033	132	232	1	0	72	2
34	Rally	0	731	0	0	0	0	0	0	0	435	64034	133	233	1	0	24	2
35	Soothe	0	732	0	0	0	753	753	0	0	436	64035	134	234	1	0	25	2
36	Stagger	0	733	0	0	0	0	0	0	0	437	64036	135	235	1	0	73	2
37	Stretch	0	734	0	0	0	588	588	0	0	438	64037	136	236	1	0	100	2
38	Sulk	0	735	0	0	0	0	0	0	0	439	64038	137	237	1	0	68	2
39	Think	0	736	0	0	669	589	589	0	0	440	64039	138	238	1	0	94	2
40	Upset	0	737	0	0	670	590	590	0	0	441	64040	139	239	1	0	66	2
41	Welcome	0	738	0	0	0	591	591	0	0	442	64041	140	240	1	0	2	2
42	Yes	0	739	0	0	671	671	671	0	0	443	64042	141	241	1	0	40	2
43	Thumbs Up	0	740	0	0	672	592	592	0	0	444	64043	142	242	1	0	41	2
44	Examine Self	0	714	0	0	0	744	744	0	0	445	64044	143	243	1	0	95	2
45	Pose	0	722	0	0	0	0	0	0	0	446	64045	144	244	1	0	90	2
46	Blow Kiss	0	692	0	0	0	0	0	0	0	447	64049	148	248	1	0	30	2
47	Grovel	0	701	0	0	0	0	0	0	0	448	64051	150	250	1	0	76	2
48	Happy	0	709	0	0	0	684	684	0	0	449	64052	151	251	1	0	23	2
49	Disappointed	0	718	0	0	668	747	747	0	0	450	64053	152	252	1	0	67	2
50	Sit	0	654	653	0	0	0	0	0	0	451	64054	0	0	2	1	96	4
51	Stand Up	0	655	0	0	655	0	0	0	0	0	64054	0	0	2	1	0	1
52	Sit	0	643	642	0	0	0	0	0	0	0	64054	0	0	2	2	0	0
53	Stand Up	0	644	0	0	0	644	0	0	0	0	64054	0	0	2	2	0	1
54	Air Quotes	0	688	0	0	0	673	673	0	0	455	64063	0	0	1	0	102	2
55	Storm Salute	0	726	0	0	0	0	0	0	0	456	64046	145	245	1	0	7	2
56	Serpent Salute	0	727	0	0	0	0	0	0	0	457	64047	146	246	1	0	7	2
57	Flame Salute	0	728	0	0	0	0	0	0	0	458	64048	147	247	1	0	7	2
58	Pray	0	742	0	0	0	0	0	0	0	459	64064	178	278	1	0	29	2
59	Imperial Salute	23	587	0	0	0	0	0	0	0	460	64066	179	279	1	0	8	2
60	Visor	0	0	0	0	0	0	0	0	0	461	64065	0	0	2	0	255	0
61	Visor	0	0	0	0	0	0	0	0	0	0	64065	0	0	2	0	255	0
