0	0	17
1	0	23
2	0	22
3	0	17
4	0	25
5	0	21
6	0	19
7	0	29
8	0	27
9	0	1
10	0	9
11	0	5
12	0	3
13	0	13
14	0	11
15	2	17
16	2	25
17	2	21
18	2	19
19	2	29
20	2	27
21	2	1
22	2	9
23	2	5
24	2	3
25	2	13
26	2	11
27	1.5	17
28	1.5	25
29	1.5	21
30	1.5	19
31	1.5	29
32	1.5	27
33	1.5	1
34	1.5	9
35	1.5	5
36	1.5	3
37	1.5	13
38	1.5	11
39	1.2	17
40	1.2	25
41	1.2	21
42	1.2	19
43	1.2	29
44	1.2	27
45	1.2	1
46	1.2	9
47	1.2	5
48	1.2	3
49	1.2	13
50	1.2	11
51	1.01	17
52	1.01	25
53	1.01	21
54	1.01	19
55	1.01	29
56	1.01	27
57	1.01	1
58	1.01	9
59	1.01	5
60	1.01	3
61	1.01	13
62	1.01	11
63	0	16
64	0	24
65	0	20
66	0	18
67	0	28
68	0	26
69	0	0
70	0	8
71	0	4
72	0	2
73	0	12
74	0	10
75	1.01	23
76	1.2	23
77	1.5	23
