0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
1	-1	30	12	6	2.4	6	2.4	2.4	6	2.4	60	30	60	6
2	-1	24	9.6	9	3.2	9	3.2	3.2	8	3.2	30	15	30	8
3	-1	24	9.6	9	3.2	8	3.2	3.2	8	3.2	30	15	30	8
4	-1	24	12	9	2	9	1.6	3.2	8	3.2	30	15	30	8
5	-1	24	9.6	9	1	9	1	3.2	8	3.2	30	15	30	8
6	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
7	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
8	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
9	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
10	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
11	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
12	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
13	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
14	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
15	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
16	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
17	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
18	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
19	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
20	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
