0	0	0	0
1	2	1	0
2	3	1	0
3	4	1	0
4	5	1	0
5	6	1	0
6	7	1	0
7	8	26	0
8	9	26	0
9	10	26	0
10	11	26	0
11	12	26	0
12	13	26	0
13	14	50	0
14	15	50	0
15	16	50	0
16	17	50	0
17	18	50	0
18	19	50	0
19	5594	1	0
20	5595	10	0
21	5596	20	0
22	5597	30	0
23	5598	40	0
24	5599	20	0
25	5600	30	0
26	5601	50	0
27	5602	51	0
28	5603	150	1
29	5814	28	0
30	5815	28	0
31	5816	28	0
32	5817	28	0
33	5818	28	0
34	5819	28	0
35	5820	28	0
36	5139	35	0
37	5138	34	0
38	5524	19	0
39	5143	44	0
40	5439	50	0
41	5134	31	0
42	5118	51	0
43	5135	33	0
44	5128	7	0
45	5168	39	0
46	5141	38	0
47	5144	37	0
48	5131	17	0
49	5491	24	0
50	5145	41	0
51	5129	18	0
52	5142	36	0
53	5263	46	0
54	5525	40	0
55	5132	17	0
56	5137	32	0
57	5136	33	0
58	5130	16	0
59	6199	51	0
60	5121	51	0
61	5133	7	0
62	5140	45	0
63	5110	9	0
64	5458	49	0
65	5116	47	0
66	5113	25	0
67	5433	8	0
68	5124	10	0
69	5432	5	0
70	5465	19	0
71	5107	6	0
72	5115	43	0
73	5488	3	0
74	5111	14	0
75	5106	1	0
76	5125	28	0
77	5114	34	0
78	5272	42	0
79	5273	51	0
80	5270	22	0
81	5526	40	0
82	5269	14	0
83	5231	30	0
84	5528	26	0
85	6152	51	0
86	5152	23	0
87	5518	12	0
88	5523	27	0
89	5228	13	0
90	5157	25	0
91	5158	51	0
92	5519	15	0
93	5229	20	0
94	5155	21	0
95	5268	11	0
96	5153	23	0
97	5154	24	0
98	5156	24	0
99	5527	29	0
100	5271	33	0
101	4842	40	0
102	4807	36	0
103	5402	9	0
104	5383	8	0
105	5050	2	0
106	4813	30	0
107	5547	51	0
108	4806	21	0
109	5388	24	0
110	5385	12	0
111	5409	31	0
112	5390	32	0
113	4803	9	0
114	5352	10	0
115	4831	10	0
116	5351	6	0
117	4811	17	0
118	4828	4	0
119	6146	42	0
120	5395	51	0
121	5562	35	0
122	4805	14	0
123	5359	29	0
124	5534	6	0
125	4844	39	0
126	4786	18	0
127	5535	23	0
128	4810	16	0
129	5537	51	0
130	5391	37	0
131	5536	44	0
132	5396	5	0
133	5380	3	0
134	5498	2	0
135	5405	20	0
136	5386	19	0
137	5509	1	0
138	4809	7	0
139	5414	47	0
140	5393	46	0
141	5516	5	0
142	4793	38	0
143	4835	23	0
144	4790	32	0
145	4788	27	0
146	4779	13	0
147	4804	13	0
148	5540	13	0
149	4829	11	0
150	5542	24	0
151	4834	16	0
152	4796	19	0
153	5560	12	0
154	4778	13	0
155	4845	41	0
156	4846	48	0
157	4822	26	0
158	4795	11	0
159	5538	11	0
160	4792	39	0
161	4819	25	0
162	4783	14	0
163	5054	45	0
164	4841	39	0
165	5051	11	0
166	4843	35	0
167	4838	35	0
168	5545	51	0
169	5546	51	0
170	6145	22	0
171	4781	15	0
172	4836	24	0
173	4816	51	0
174	6148	51	0
175	4784	15	0
176	4818	12	0
177	6147	51	0
178	4785	16	0
179	4812	21	0
180	5360	34	0
181	5564	42	0
182	4800	51	0
183	4830	14	0
184	4814	36	0
185	5541	18	0
186	4797	22	0
187	4787	18	0
188	5563	20	0
189	4798	33	0
190	4832	15	0
191	4840	37	0
192	5543	33	0
193	4789	28	0
