0	0	176	0
1	176	522	2
2	522	616	2
3	616	655	2
4	655	690	2
5	690	725	2
6	725	760	2
7	760	795	2
8	795	837	2
9	837	912	2
10	912	1034	3
11	1034	1150	3
12	1150	1280	3
13	1280	1363	3
14	1363	1398	3
15	1398	1422	3
16	1422	1458	3
17	1458	1621	3
18	1621	1635	3
19	1635	1913	2
20	1913	2091	2
21	2091	2106	2
22	2106	2193	1
23	2193	2194	2
24	2194	2371	3
25	2371	2411	3
26	2411	2457	3
27	2457	2497	3
28	2497	2558	3
29	2558	2618	3
30	2618	2678	3
31	2678	2738	3
32	2738	2798	3
33	2798	2858	3
34	2858	2918	3
35	2918	2978	3
36	2978	3008	3
37	3008	3038	3
38	3038	3068	3
39	3068	3098	3
40	3098	3128	3
41	3128	3158	3
42	3158	3188	3
43	3188	3218	3
44	3218	3248	3
45	3248	3278	3
46	3278	3308	3
47	3308	3338	3
48	0	0	2
49	3338	3404	2
50	3404	3522	2
51	0	0	2
