917504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
917505	36	3	1823	0	0	0	1	0	0	0	0	0	0	0	0
917506	37	3	2457	0	0	0	1	0	0	0	0	0	0	0	0
917507	38	6	2233	0	0	0	1	0	0	0	0	0	0	0	0
917508	96	3	3017	0	0	0	1	0	0	0	0	0	0	0	0
917509	97	3	3772	0	0	0	1	0	0	0	0	0	0	0	0
917510	98	6	3967	0	0	0	1	0	0	0	0	0	0	0	0
917511	42	4	2703	0	0	0	1	0	0	0	0	0	0	0	0
917512	43	4	2233	0	0	0	1	0	0	0	0	0	0	0	0
917513	44	6	1895	0	0	0	1	0	0	0	0	0	0	0	0
917514	102	4	4097	0	0	0	1	0	0	0	0	0	0	0	0
917515	103	4	3774	0	0	0	1	0	0	0	0	0	0	0	0
917516	104	6	3547	0	0	0	1	0	0	0	0	0	0	0	0
917517	48	5	2408	0	0	0	1	0	0	0	0	0	0	0	0
917518	49	5	1825	1825	1825	0	1	1	1	0	2	0	0	0	0
917519	50	5	5371	0	0	0	3	0	0	0	0	0	0	0	0
917520	108	5	3576	0	0	0	1	0	0	0	0	0	0	0	0
917521	109	5	1688	1688	1688	0	1	1	1	0	2	0	0	0	0
917522	110	5	3043	0	0	0	1	0	0	0	0	0	0	0	0
917523	33	6	1998	0	0	0	1	0	0	0	0	0	0	0	0
917524	34	6	2406	0	0	0	1	0	0	0	0	0	0	0	0
917525	35	3	5364	0	0	0	3	0	0	0	0	0	0	0	0
917526	39	6	1825	0	0	0	1	0	0	0	0	0	0	0	0
917527	40	6	2000	0	0	0	1	0	0	0	0	0	0	0	0
917528	41	4	5367	0	0	0	3	0	0	0	0	0	0	0	0
917529	45	6	2004	0	0	0	1	0	0	0	0	0	0	0	0
917530	46	6	2703	2703	2703	0	1	1	1	0	2	0	0	0	0
917531	47	5	1827	0	0	0	1	0	0	0	0	0	0	0	0
917532	93	6	3771	0	0	0	1	0	0	0	0	0	0	0	0
917533	94	6	3537	0	0	0	1	0	0	0	0	0	0	0	0
917534	95	3	5276	0	0	0	3	0	0	0	0	0	0	0	0
917535	99	6	4308	0	0	0	1	0	0	0	0	0	0	0	0
917536	100	6	2672	0	0	0	1	0	0	0	0	0	0	0	0
917537	101	4	5277	0	0	0	3	0	0	0	0	0	0	0	0
917538	105	6	3559	0	0	0	1	0	0	0	0	0	0	0	0
917539	106	6	5277	0	0	0	5	0	0	0	2	0	0	0	0
917540	107	5	3788	0	0	0	1	0	0	0	0	0	0	0	0
917541	165	8	2523	0	0	0	1	0	0	0	0	0	0	0	0
917542	166	8	2331	2331	2331	0	1	1	1	0	2	0	0	0	0
917543	167	5	2537	0	0	0	1	0	0	0	0	0	0	0	0
917544	168	5	2318	0	0	0	1	0	0	0	0	0	0	0	0
917545	169	5	1609	1609	1609	0	1	1	1	0	2	0	0	0	0
917546	170	5	1694	0	0	0	1	0	0	0	0	0	0	0	0
917547	225	8	2241	0	0	0	1	0	0	0	0	0	0	0	0
917548	226	8	2239	2239	2239	0	1	1	1	0	2	0	0	0	0
917549	227	5	2498	0	0	0	1	0	0	0	0	0	0	0	0
917550	228	5	3557	0	0	0	1	0	0	0	0	0	0	0	0
917551	229	5	2712	2712	2712	0	1	1	1	0	2	0	0	0	0
917552	230	5	2472	0	0	0	1	0	0	0	0	0	0	0	0
917553	465	13	4433	0	0	0	1	0	0	0	0	0	0	0	0
917554	466	13	2061	2061	2061	0	1	1	1	0	2	0	0	0	0
917555	467	5	2063	0	0	0	1	0	0	0	0	0	0	0	0
917556	468	5	4209	0	0	0	1	0	0	0	0	0	0	0	0
917557	469	5	4430	4430	4430	0	1	1	1	0	2	0	0	0	0
917558	470	5	2111	0	0	0	1	0	0	0	0	0	0	0	0
917559	405	13	3987	0	0	0	1	0	0	0	0	0	0	0	0
917560	406	13	3336	3336	3336	0	1	1	1	0	2	0	0	0	0
