0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	5	0	0	16	0	0	12	0	0	20	0	0	15	0	0	1	0	0
7	4	0	0	16	0	0	12	0	0	20	0	0	15	0	0	1	0	0
8	2	0	0	16	0	0	12	0	0	20	0	0	15	0	0	1	0	0
9	3	0	0	16	0	0	12	0	0	20	0	0	15	0	0	1	0	0
10	1	0	0	16	0	0	12	0	0	20	0	0	15	0	0	1	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	5	0	0	16	0	0	27	0	0	20	0	0	34	0	0	1	0	0
13	4	0	0	16	0	0	27	0	0	20	0	0	34	0	0	1	0	0
14	2	0	0	16	0	0	27	0	0	20	0	0	34	0	0	1	0	0
15	3	0	0	16	0	0	28	0	0	20	0	0	35	0	0	1	0	0
16	1	0	0	16	0	0	27	0	0	20	0	0	34	0	0	1	0	0
17	37	0	0	16	0	0	22	0	0	20	0	0	27	0	0	1	0	0
18	42	0	0	16	0	0	22	0	0	20	0	0	27	0	0	1	0	0
19	39	0	0	16	0	0	22	0	0	20	0	0	27	0	0	1	0	0
20	40	0	0	16	0	0	22	0	0	20	0	0	27	0	0	1	0	0
21	41	0	0	16	0	0	22	0	0	20	0	0	27	0	0	1	0	0
22	38	0	0	16	0	0	22	0	0	20	0	0	27	0	0	1	0	0
23	1	2	4	20	20	20	34	34	34	20	20	20	34	34	34	1	1	1
24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	5	0	0	16	0	0	49	0	0	20	0	0	61	0	0	1	0	0
26	4	0	0	16	0	0	49	0	0	20	0	0	61	0	0	1	0	0
27	2	0	0	16	0	0	49	0	0	20	0	0	61	0	0	1	0	0
28	3	0	0	16	0	0	50	0	0	20	0	0	62	0	0	1	0	0
29	1	0	0	16	0	0	49	0	0	20	0	0	61	0	0	1	0	0
30	37	0	0	16	0	0	37	0	0	20	0	0	46	0	0	1	0	0
31	42	0	0	16	0	0	37	0	0	20	0	0	46	0	0	1	0	0
32	39	0	0	16	0	0	37	0	0	20	0	0	46	0	0	1	0	0
33	40	0	0	16	0	0	37	0	0	20	0	0	46	0	0	1	0	0
34	41	0	0	16	0	0	37	0	0	20	0	0	46	0	0	1	0	0
35	38	0	0	16	0	0	37	0	0	20	0	0	46	0	0	1	0	0
36	5	0	0	16	0	0	67	0	0	20	0	0	84	0	0	1	0	0
37	4	0	0	16	0	0	67	0	0	20	0	0	84	0	0	1	0	0
38	2	0	0	16	0	0	67	0	0	20	0	0	84	0	0	1	0	0
39	3	0	0	16	0	0	70	0	0	20	0	0	87	0	0	1	0	0
40	1	0	0	16	0	0	67	0	0	20	0	0	84	0	0	1	0	0
41	37	0	0	16	0	0	64	0	0	20	0	0	80	0	0	1	0	0
42	42	0	0	16	0	0	64	0	0	20	0	0	80	0	0	1	0	0
