393216	1	65756	65756	0	0
393217	2	65756	65756	0	0
393218	3	65757	65757	0	0
393219	4	65979	65979	0	0
393220	5	65756	65756	0	0
393221	6	66229	66229	0	0
393222	7	66223	66223	0	0
393223	8	66223	66223	0	0
393224	9	66224	66224	0	0
393225	10	66229	66229	0	0
393226	11	66230	66230	0	0
393227	12	65756	65536	0	0
393228	13	66228	66228	0	0
393229	14	65550	65550	0	0
393230	15	65552	65552	0	0
393231	16	65553	65553	0	0
393232	17	65980	65980	0	0
393233	18	65551	65551	0	0
393234	19	66223	65536	0	0
393235	20	66229	65536	0	0
393236	21	66232	66232	0	0
393237	22	66231	66231	0	0
393238	23	65554	65554	0	0
393239	24	66229	65536	1	1
393240	25	66229	65536	5	1
393241	26	65756	65536	1	2
393242	27	65756	65536	5	2
393243	28	66223	65536	1	4
393244	29	66223	65536	5	4
393245	30	65756	65536	5	7
393246	31	65756	65536	5	7
393247	32	66223	65536	8	7
393248	33	67642	67642	0	8
