0	0	1	0	0	0	0	0	4
1	0	1	0	0	0	0	639	4
2	0	1	0	0	2443	0	738	4
3	0	1	0	0	0	0	868	4
4	0	1	0	0	0	0	344	4
5	0	1	0	0	0	0	869	4
6	0	1	0	0	3139	0	836	4
7	0	1	465	248	2360	0	0	6
8	0	1	466	249	2360	0	0	6
9	0	1	467	250	2360	0	0	6
10	0	1	468	251	2360	0	0	6
11	0	1	469	252	2360	0	0	6
12	0.9	1	0	0	2360	0	921	4
13	0.9	1	0	0	2360	0	920	4
14	0.6	1	0	0	2360	0	923	4
15	0.5	0.6	0	0	2360	0	924	4
16	0.3	1	0	0	2360	0	922	4
17	0	2	0	0	0	0	652	4
18	0	2	0	0	0	0	1022	4
19	0	2	0	0	3504	0	1023	4
20	0	0.7	0	0	0	0	1085	0
21	0	0.7	0	0	0	0	1086	0
22	0	1	0	0	0	0	915	0
23	0	1.7	0	0	0	0	730	0
24	0	3.5	0	0	0	0	1061	0
25	0	2.2	0	0	0	0	1062	0
26	0	3	0	0	0	0	1300	0
27	0	1	0	656	0	0	89	4
28	0	1	522	959	0	0	0	4
29	0	2.5	0	0	0	0	558	0
30	0	2	0	771	0	0	16	0
31	0	1.5	0	0	0	0	658	0
32	0	0.7	0	0	0	0	976	0
33	0	0.7	0	0	0	0	1087	0
34	0	1	0	0	0	0	0	4
35	0	1	0	0	0	0	0	4
36	0	1	0	0	0	0	0	4
37	0	1	0	0	0	0	0	4
38	0	1	0	0	0	0	0	4
39	0	1	0	0	0	0	0	4
40	0	1	0	0	0	0	0	4
