0	0	0	0	0
1	4785	66501	2	0
2	4777	66502	2	0
3	4778	66503	2	0
4	4782	66504	2	0
5	4804	66505	2	0
6	4787	66506	2	0
7	4821	66507	2	0
8	4788	66508	2	0
9	4789	66509	2	0
10	6148	66510	2	0
11	4809	66551	3	0
12	4808	66552	3	0
13	4810	66553	3	0
14	4811	66554	3	0
15	4812	66555	3	0
16	4814	66556	3	0
17	6146	66557	3	0
18	4815	66558	3	0
19	6147	66559	3	0
20	4816	66560	3	0
21	4829	66601	1	0
22	5539	66602	1	0
23	4830	66603	1	0
24	4835	66604	1	0
25	4836	66605	1	0
26	5542	66606	1	0
27	5346	66607	1	0
28	4837	66608	1	0
29	5543	66609	1	0
30	4842	66610	1	0
31	7768	66651	1	0
32	7769	66652	1	0
33	7770	66653	1	0
34	7602	66654	1	0
35	7603	66655	2	0
36	7604	66656	3	0
37	7592	66657	3	0
38	7593	66661	2	0
39	7591	66660	1	0
40	7773	66701	3	1
41	7774	66702	1	1
42	7775	66703	3	1
43	7776	66704	1	1
44	7894	66511	4	0
45	7895	66512	4	0
46	7897	66513	4	0
47	7898	66508	4	0
48	7900	66510	4	0
49	8165	66503	4	0
50	8166	66502	4	1
51	8192	66662	5	1
52	8193	66663	5	1
53	8194	66664	5	1
54	8195	66665	5	1
55	8196	66666	5	1
56	8023	66667	1	1
57	4868	66514	4	0
58	8157	66553	4	0
59	8158	66555	4	0
60	8159	66515	4	0
61	8160	66556	4	0
62	8161	66552	4	0
63	8162	66560	4	0
64	8163	66554	4	0
65	0	0	0	0
66	0	0	0	0
67	0	0	0	0
68	0	0	0	0
69	0	0	0	0
70	0	0	0	0
