0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	atr_parts_tail				0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	1	0	0	0	0	0	0	0
2					0	0	0	0	0	0	0	0	0	0	0	0	642	642	0	0	0	0	0	0	1	1	0	0
3	atr_parts_heart				0	0	0	0	1.5	0	0	0	0	0	0	0	1507	0	0	0	0	0	0	0	0	0	0	0
4	atr_parts_heart				0	0	0	0	1.5	0	0	0	0	0	0	0	1508	0	0	0	0	0	0	0	0	0	0	0
5	atr_parts_heart				0	0	0	0	1.5	0	0	0	0	0	0	0	1509	0	0	0	0	0	0	0	0	0	0	0
6	atr_parts_breast				0	0	0	0	0.5	0	0	0	0	0	0	0	2042	0	0	0	1	0	0	0	0	0	0	0
7					0	0	0	0	0.5	0	0	0	0	0	0	0	2689	0	0	0	0	0	0	0	0	0	0	0
8					0	0	0	0	2.4	2.4	0	0	0	0	0	0	2766	2767	0	0	0	0	0	0	0	0	0	0
9	atr_parts_a	atr_parts_b	atr_parts_c		1.5	0	-0.9	0	0	0.3	-0.8	0	0	0	0	0	3350	3351	3352	0	1	1	1	0	0	0	0	0
10					0.8	-0.7	0.7	-0.7	2.7	2.7	2	2	3	3	3	3	3604	3603	3605	3606	0	0	0	0	1	1	1	1
11	atr_parts_c	atr_parts_d	atr_parts_a	atr_parts_b	7	-7	7	-7	-7	-7	7	7	3	3	3	3	4106	4105	4104	4103	1	1	1	1	0	0	0	0
12	atr_parts_c	atr_parts_d	atr_parts_a	atr_parts_b	7	-7	7	-7	-7	-7	7	7	3	3	3	3	4110	4109	4108	4107	1	1	1	1	0	0	0	0
13					0	0	0	0	0	0	0	0	0	0	0	0	4229	4230	0	0	0	0	0	0	1	1	0	0
14	atr_parts_a				-1.3	-1.3	0	0	0.6	0.6	0	0	3	3	0	0	4421	4422	0	0	1	0	0	0	0	0	0	0
15	atr_parts_a				-1.3	-1.3	0	0	0.6	0.6	0	0	3	3	0	0	4423	4424	0	0	1	0	0	0	0	0	0	0
16	atr_parts_breast				0	0	0	0	0.5	0	0	0	0	0	0	0	4657	0	0	0	1	0	0	0	0	0	0	0
17					3.2	-3.2	0	0	0	0.9	0	0	3	3	0	0	4276	4277	0	0	0	0	0	0	0	0	0	0
18	atr_parts_heart				0	0	0	0	1.5	0	0	0	0	0	0	0	2667	0	0	0	0	0	0	0	0	0	0	0
